100 0.000000
99 0.000000
98 0.000000
97 0.000000
96 0.000000
95 0.000000
94 0.000000
93 0.000000
92 0.000000
91 0.000000
90 0.000000
89 0.000000
88 0.000000
87 0.000000
86 0.000000
85 0.000000
84 0.000200
83 0.001200
82 0.000200
81 0.001000
80 0.002000
79 0.001200
78 0.002200
77 0.004000
76 0.003200
75 0.005600
74 0.005600
73 0.009600
72 0.012000
71 0.016600
70 0.018400
69 0.029600
68 0.040000
67 0.048800
66 0.065800
65 0.091400
64 0.102200
63 0.130000
62 0.162800
61 0.215400
60 0.262600
59 0.315800
58 0.392400
57 0.472400
56 0.587600
55 0.717400
54 0.847000
53 1.015600
52 1.245200
51 1.558400
50 1.885000
49 2.258600
48 2.652800
47 3.102600
46 3.632200
45 4.349600
44 5.002200
43 5.682800
42 6.296200
41 6.952400
40 7.703600
39 8.393400
38 9.061000
37 9.655200
36 10.470400
35 11.232600
34 11.846400
33 12.510000
32 13.151400
31 13.873400
30 14.804000
29 15.648600
28 16.294400
27 17.058800
26 18.031000
25 18.904600
24 19.663200
23 20.784000
22 21.668200
21 22.634400
20 23.918400
19 25.071000
18 25.974800
17 27.102600
16 28.046400
15 28.723000
14 29.261200
13 29.600200
12 29.585000
11 29.308200
10 28.864000
9 28.216600
8 27.314200
7 26.152600
6 24.929600
5 23.626600
4 23.929400
3 18.823600
2 13.234800
1 8.366800
