100 0.000000
99 0.000000
98 0.000000
97 0.000000
96 0.000000
95 0.000000
94 0.000000
93 0.000000
92 0.000000
91 0.000000
90 0.000000
89 0.000000
88 0.000000
87 0.000000
86 0.000000
85 0.000000
84 0.000000
83 0.000000
82 0.000000
81 0.000000
80 0.000000
79 0.000000
78 0.000000
77 0.000000
76 0.000000
75 0.000000
74 0.000000
73 0.000000
72 0.000000
71 0.000000
70 0.000000
69 0.000000
68 0.000000
67 0.000000
66 0.000000
65 0.000000
64 0.000000
63 0.000000
62 0.000000
61 0.000000
60 0.000000
59 0.000000
58 0.000000
57 0.000000
56 0.000000
55 0.000000
54 0.000000
53 0.000000
52 0.000000
51 0.000000
50 0.000000
49 0.000000
48 0.000000
47 0.000000
46 0.000000
45 0.000000
44 1.000000
43 5.000000
42 10.000000
41 12.000000
40 20.000000
39 22.000000
38 24.000000
37 27.000000
36 34.000000
35 29.000000
34 30.000000
33 22.000000
32 21.000000
31 23.000000
30 21.000000
29 17.000000
28 20.000000
27 9.000000
26 8.000000
25 12.000000
24 29.000000
23 22.000000
22 36.000000
21 39.000000
20 34.000000
19 40.000000
18 28.000000
17 33.000000
16 30.000000
15 36.000000
14 31.000000
13 33.000000
12 28.000000
11 21.000000
10 21.000000
9 19.000000
8 22.000000
7 25.000000
6 22.000000
5 31.000000
4 16.000000
3 7.000000
2 7.000000
1 5.000000
